dx,gb,dz,gb_energy
0,1,0,1.013011764
0,1,0.1,1.014870664
0,1,0.2,1.02044168
0,1,0.3,1.029702353
0,1,0.4,1.04261061
0,1,0.5,1.059148257
0,1,0.6,1.216402309
0,1,0.7,2.436637551
0,1,0.8,1.150920913
0,1,0.9,1.121763268
0,1,1,1.095242026
0,1,1.1,1.071495063
0,1,1.2,1.228847475
0,1,1.3,1.25444481
0,1,1.4,1.230795355
0,1,1.5,1.212279694
0,1,1.6,1.198916591
0,1,1.7,1.190739874
0,1,1.8,1.187755513
0,1,1.9,1.189974026
0,1,2,1.197391434
0,1,2.1,1.209990396
0,1,2.2,1.227756128
0,1,2.3,1.250645705
0,1,2.4,1.047972965
0,1,2.5,1.311642884
0,1,2.6,1.091580512
0,1,2.7,1.39248757
0,1,2.8,1.146468819
0,1,2.9,1.177798925
0,1,3,1.211369149
0,1,3.1,1.061874209
0,1,3.2,1.663383009
0,1,3.3,1.031364817
0,1,3.4,1.021571121
0,1,3.5,1.015457985
0,1,3.6,1.0130527
0.1,1,0,1.004321354
0.1,1,0.1,1.006162061
0.1,1,0.2,1.011684465
0.1,1,0.3,1.020855022
0.1,1,0.4,1.037448388
0.1,1,0.5,1.054534125
0.1,1,0.6,1.075261476
0.1,1,0.7,1.18291282
0.1,1,0.8,1.151699837
0.1,1,0.9,1.122694281
0.1,1,1,1.096176735
0.1,1,1.1,1.072340793
0.1,1,1.2,1.051604914
0.1,1,1.3,1.03320666
0.1,1,1.4,1.018161478
0.1,1,1.5,1.00628885
0.1,1,1.6,0.997656717
0.1,1,1.7,0.992357188
0.1,1,1.8,0.990412435
0.1,1,1.9,0.991857141
0.1,1,2,0.996671122
0.1,1,2.1,1.004810314
0.1,1,2.2,1.016216725
0.1,1,2.3,1.032637818
0.1,1,2.4,1.048458229
0.1,1,2.5,1.069064762
0.1,1,2.6,1.092509252
0.1,1,2.7,1.118636767
0.1,1,2.8,1.147284416
0.1,1,2.9,1.178213972
0.1,1,3,1.073172594
0.1,1,3.1,1.057357299
0.1,1,3.2,1.039735128
0.1,1,3.3,1.022511516
0.1,1,3.4,1.012804809
0.1,1,3.5,1.006743127
0.1,1,3.6,1.004361154
0.2,1,0,0.997970846
0.2,1,0.1,0.999793074
0.2,1,0.2,1.005254927
0.2,1,0.3,1.014331956
0.2,1,0.4,1.027009378
0.2,1,0.5,1.046805715
0.2,1,0.6,1.06694404
0.2,1,0.7,1.090503379
0.2,1,0.8,1.153925458
0.2,1,0.9,1.124983296
0.2,1,1,1.09833754
0.2,1,1.1,1.074263372
0.2,1,1.2,1.053568145
0.2,1,1.3,1.034529411
0.2,1,1.4,1.019194264
0.2,1,1.5,1.007068627
0.2,1,1.6,0.998244038
0.2,1,1.7,0.992819426
0.2,1,1.8,0.990868987
0.2,1,1.9,0.992306871
0.2,1,2,0.997232289
0.2,1,2.1,1.005559674
0.2,1,2.2,1.017209428
0.2,1,2.3,1.032078357
0.2,1,2.4,1.050043653
0.2,1,2.5,1.070952659
0.2,1,2.6,1.095605335
0.2,1,2.7,1.120910715
0.2,1,2.8,1.149535621
0.2,1,2.9,1.180029094
0.2,1,3,1.070198467
0.2,1,3.1,1.049551566
0.2,1,3.2,1.029165066
0.2,1,3.3,1.015975657
0.2,1,3.4,1.006364752
0.2,1,3.5,1.000367602
0.2,1,3.6,0.998011498
0.3,1,0,0.993769202
0.3,1,0.1,0.995571815
0.3,1,0.2,1.000969989
0.3,1,0.3,1.009942119
0.3,1,0.4,1.022466031
0.3,1,0.5,1.038478899
0.3,1,0.6,1.060295039
0.3,1,0.7,1.083839595
0.3,1,0.8,1.15776493
0.3,1,0.9,1.128778136
0.3,1,1,1.101881931
0.3,1,1.1,1.077455257
0.3,1,1.2,1.055728381
0.3,1,1.3,1.03693896
0.3,1,1.4,1.021242494
0.3,1,1.5,1.008814384
0.3,1,1.6,0.999772037
0.3,1,1.7,0.994203296
0.3,1,1.8,0.992164447
0.3,1,1.9,0.993683065
0.3,1,2,0.998733851
0.3,1,2.1,1.007270749
0.3,1,2.2,1.019211889
0.3,1,2.3,1.034434746
0.3,1,2.4,1.052780407
0.3,1,2.5,1.074081718
0.3,1,2.6,1.098137123
0.3,1,2.7,1.124753314
0.3,1,2.8,1.15340409
0.3,1,2.9,1.086807752
0.3,1,3,1.063451957
0.3,1,3.1,1.041126105
0.3,1,3.2,1.024603525
0.3,1,3.3,1.011562225
0.3,1,3.4,1.002066169
0.3,1,3.5,0.996140089
0.3,1,3.6,0.993811844
0.4,1,0,0.991423047
0.4,1,0.1,0.993202918
0.4,1,0.2,0.998539688
0.4,1,0.3,1.007407487
0.4,1,0.4,1.019778457
0.4,1,0.5,1.035592614
0.4,1,0.6,1.055264437
0.4,1,0.7,1.077481695
0.4,1,0.8,1.16341526
0.4,1,0.9,1.134224922
0.4,1,1,1.107219553
0.4,1,1.1,1.082064841
0.4,1,1.2,1.059873169
0.4,1,1.3,1.040629185
0.4,1,1.4,1.024547237
0.4,1,1.5,1.011803578
0.4,1,1.6,1.002518457
0.4,1,1.7,0.996804165
0.4,1,1.8,0.99471244
0.4,1,1.9,0.996268867
0.4,1,2,1.001457812
0.4,1,2.1,1.010214458
0.4,1,2.2,1.022465462
0.4,1,2.3,1.038067263
0.4,1,2.4,1.056854694
0.4,1,2.5,1.078626202
0.4,1,2.6,1.103137875
0.4,1,2.7,1.130084114
0.4,1,2.8,1.159029403
0.4,1,2.9,1.08102239
0.4,1,3,1.058335503
0.4,1,3.1,1.03820656
0.4,1,3.2,1.021890934
0.4,1,3.3,1.009007978
0.4,1,3.4,0.999624212
0.4,1,3.5,0.993765791
0.4,1,3.6,0.991461709
0.5,1,0,0.990498856
0.5,1,0.1,0.99226167
0.5,1,0.2,0.997543006
0.5,1,0.3,1.006318983
0.5,1,0.4,1.018556342
0.5,1,0.5,1.034189982
0.5,1,0.6,1.051709813
0.5,1,0.7,1.073307058
0.5,1,0.8,1.170985325
0.5,1,0.9,1.141420024
0.5,1,1,1.113642553
0.5,1,1.1,1.08821607
0.5,1,1.2,1.065489669
0.5,1,1.3,1.045765539
0.5,1,1.4,1.029265416
0.5,1,1.5,1.016188013
0.5,1,1.6,1.006658981
0.5,1,1.7,1.000795726
0.5,1,1.8,0.998648283
0.5,1,1.9,1.000245931
0.5,1,2,1.005567918
0.5,1,2.1,1.014557673
0.5,1,2.2,1.027126217
0.5,1,2.3,1.043138516
0.5,1,2.4,1.062399556
0.5,1,2.5,1.084694706
0.5,1,2.6,1.109757312
0.5,1,2.7,1.137205588
0.5,1,2.8,1.249130782
0.5,1,2.9,1.076747402
0.5,1,3,1.054688488
0.5,1,3.1,1.036773793
0.5,1,3.2,1.020644655
0.5,1,3.3,1.007902701
0.5,1,3.4,0.998615875
0.5,1,3.5,0.992818573
0.5,1,3.6,0.990538371
0.6,1,0,0.990432335
0.6,1,0.1,0.992184346
